id,govid,govname,award,profile_url,year,name,affiliation,location,deceased
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/robert-j-glaser/,1970,Robert J. Glaser,No Affiliation,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/robert-l-barchi/,1993,Robert L. Barchi,"Rutgers, The State University of New Jersey, New Brunswick",Pennsylvania,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/robert-l-van-citters/,1978,Robert L. Van Citters,University of Washington School of Medicine,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/robert-m-glickman/,1995,Robert M. Glickman,New York University,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/robert-otto-burciaga-valdez/,2023,Robert Otto Burciaga Valdez,Department of Health and Human Services,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/rochelle-paula-walensky/,2021,Rochelle Paula Walensky,Harvard Kennedy School,Georgia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/roger-i-glass/,2003,Roger I. Glass,China Medical Board,Georgia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/roger-j-bulger/,1977,Roger J. Bulger,No Affiliation,Massachusetts,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ronald-d-vale/,2014,Ronald D. Vale,Janelia Research Campus Howard Hughes Medical Institute,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ronald-paul-dematteo/,2020,Ronald Paul DeMatteo,"University of Pennsylvania, Perelman School of Medicine",Pennsylvania,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ross-l-prentice/,1990,Ross L. Prentice,Fred Hutchinson Cancer Center,Canada,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/rudolph-emile-tanzi/,2023,Rudolph Emile Tanzi,Massachusetts General Hospital,Massachusetts,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/russell-ross/,1987,Russell Ross,University of Washington,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/ruzena-k-bajcsy/,1995,Ruzena K. Bajcsy,University of Pennsylvania,Pennsylvania,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/sally-c-morton-ph-d/,2024,Sally C. Morton Ph.D.,Arizona State University,Washington,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/samuel-broder/,1993,Samuel Broder,Celera Genomics,Maryland,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/samuel-h-preston/,1991,Samuel H. Preston,University of Pennsylvania,Pennsylvania,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/samuel-s-c-yen/,1986,Samuel S.C. Yen,"University of California, San Diego School of Medicine",,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/sarah-jane-halton/,2016,Sarah Jane Halton,University of Canberra,Australia,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/saul-j-farber/,1975,Saul J. Farber,New York University,,Y
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/scott-david-halpern/,2024,Scott David Halpern,University of Pennsylvania,Pennsylvania,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/scott-e-fraser/,2020,Scott E. Fraser,California Institute of Technology,California,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/sean-j-morrison/,2018,Sean J. Morrison,The University of Texas Southwestern Medical Center,Texas,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/serdar-e-bulun/,2015,Serdar E. Bulun,Northwestern University Feinberg School of Medicine,Illinois,
1909,202,National Academy of Medicine,NAM Member,https://nam.edu/member/shari-barkin/,2021,Shari Barkin,Children's Healthcare of Atlanta,Tennessee,
